"Sitio","Region","Latitud","Longitud","Distancia hipocentral (km)","Intensidad","Escala","Autor","Calidad"
"Carolina del Principe","Antioquia","6.74","-75.29","286.61","5","EMS-98","","Insuficiente"
"Carolina del Principe","Antioquia","6.74","-75.29","286.61","5","MM","","Insuficiente"
"Caceres","Antioquia","7.61","-75.34","304.01","5","EMS-98","","Insuficiente"
"Caceres","Antioquia","7.61","-75.34","304.01","6","MM","","Insuficiente"
"Gomez Plata","Antioquia","6.69","-75.21","279.63","5","EMS-98","","Insuficiente"
"Gomez Plata","Antioquia","6.69","-75.21","279.63","5","MM","","Insuficiente"
"Heliconia","Antioquia","6.23","-75.74","336.05","6","EMS-98","","Aceptable"
"Heliconia","Antioquia","6.23","-75.74","336.05","6","MM","","Aceptable"
"La Ceja","Antioquia","6.04","-75.42","311.21","5","EMS-98","","Buena"
"La Ceja","Antioquia","6.04","-75.42","311.21","5","MM","","Buena"
"La Union","Antioquia","5.99","-75.35","306.54","5","EMS-98","","Insuficiente"
"La Union","Antioquia","5.99","-75.35","306.54","5","MM","","Insuficiente"
"Medellin","Antioquia","6.27","-75.58","319.97","5","EMS-98","","Buena"
"Medellin","Antioquia","6.27","-75.58","319.97","5","MM","","Buena"
"Narino","Antioquia","5.61","-75.19","308.15","5","EMS-98","","Insuficiente"
"Narino","Antioquia","5.61","-75.19","308.15","5","MM","","Insuficiente"
"Puerto Berrio","Antioquia","6.49","-74.4","214.48","6","EMS-98","","Buena"
"Puerto Berrio","Antioquia","6.49","-74.4","214.48","6","MM","","Buena"
"Remedios","Antioquia","7.03","-74.7","235.65","5","EMS-98","","Aceptable"
"Remedios","Antioquia","7.03","-74.7","235.65","6","MM","","Aceptable"
"San Rafael","Antioquia","6.28","-75.02","268.99","6","EMS-98","","Aceptable"
"San Rafael","Antioquia","6.28","-75.02","268.99","6","MM","","Aceptable"
"San Roque","Antioquia","6.49","-75.02","264.72","5","EMS-98","","Insuficiente"
"San Roque","Antioquia","6.49","-75.02","264.72","5","MM","","Insuficiente"
"Segovia","Antioquia","7.09","-74.71","237.18","5","EMS-98","","Aceptable"
"Segovia","Antioquia","7.09","-74.71","237.18","5","MM","","Aceptable"
"Sonson","Antioquia","5.72","-75.32","314.31","5","EMS-98","","Insuficiente"
"Sonson","Antioquia","5.72","-75.32","314.31","5","MM","","Insuficiente"
"Yolombo","Antioquia","6.6","-75.03","264.17","6","EMS-98","","Aceptable"
"Yolombo","Antioquia","6.6","-75.03","264.17","6","MM","","Aceptable"
"Yondo","Antioquia","7.07","-73.9","181.21","6","EMS-98","","Aceptable"
"Yondo","Antioquia","7.07","-73.9","181.21","6","MM","","Aceptable"
"Envigado","Antioquia","6.19","-75.59","625.78","3","EMS-98","","Aceptable"
"","Antioquia","6.18","-75.61","624.68","3","EMS-98","","Aceptable"
"Medellin","Antioquia","6.27","-75.58","634.45","3","EMS-98","","Buena"
"Medellin","Antioquia","6.27","-75.58","282.78","3","EMS-98","SGC-UN","Aceptable"
"Medellin","Antioquia","6.27","-75.58","282.78","3","MM","SGC-UN","Aceptable"
"El Santuario","Antioquia","6.14","-75.27","292.85","4","EMS-98","SGC-UN","Aceptable"
"El Santuario","Antioquia","6.14","-75.27","292.85","4","MM","SGC-UN","Aceptable"
"Santa Fe de Antioquia","Antioquia","6.55","-75.85","295.88","4","EMS-92","","Aceptable"
"Medellin","Antioquia","6.27","-75.58","325.96","4","EMS-98","SGC-UN","Aceptable"
"Medellin","Antioquia","6.27","-75.58","325.96","4","MM","SGC-UN","Aceptable"
"Abejorral","Antioquia","5.79","-75.43","208.36","5","EMS-98","SGC-UN","Insuficiente"
"Abejorral","Antioquia","5.79","-75.43","208.36","6","MM","SGC-UN","Sin dato"
"Abriaqui","Antioquia","6.65","-76.06","94.98","6","EMS-98","SGC-UN","Insuficiente"
"Abriaqui","Antioquia","6.65","-76.06","94.98","6","MM","SGC-UN","Sin dato"
"Amaga","Antioquia","6.04","-75.71","166.76","5","EMS-98","SGC-UN","Insuficiente"
"Amaga","Antioquia","6.04","-75.71","166.76","6","MM","SGC-UN","Sin dato"
"Andes","Antioquia","5.65","-75.89","187.73","5","EMS-98","SGC-UN","Insuficiente"
"Andes","Antioquia","5.65","-75.89","187.73","6","MM","SGC-UN","Sin dato"
"Anza","Antioquia","6.31","-75.86","134.55","5","EMS-98","SGC-UN","Insuficiente"
"Anza","Antioquia","6.31","-75.86","134.55","6","MM","SGC-UN","Sin dato"
"Apartado","Antioquia","7.89","-76.63","93.04","6","EMS-98","SGC-UN","Buena"
"Apartado","Antioquia","7.89","-76.63","93.04","7","MM","SGC-UN","Sin dato"
"Apartado","Antioquia","7.89","-76.63","93.04","8","MM","INGEOMINAS","Sin dato"
"Apartado","Antioquia","7.89","-76.63","93.04","8","MM","","Sin dato"
"Arboletes","Antioquia","8.88","-76.44","205.09","5","EMS-98","SGC-UN","Buena"
"Arboletes","Antioquia","8.88","-76.44","205.09","6","MM","SGC-UN","Sin dato"
"Barranquillita","Antioquia","7.57","-76.7","57.48","7","EMS-98","SGC-UN","Aceptable"
"Barranquillita","Antioquia","7.57","-76.7","57.48","8","MM","SGC-UN","Sin dato"
"Bejuquillo","Antioquia","7.36","-76.51","46.61","9","EMS-98","SGC-UN","Aceptable"
"Bejuquillo","Antioquia","7.36","-76.51","46.61","10","MM","SGC-UN","Sin dato"
"Bello","Antioquia","6.35","-75.59","156.61","6","EMS-98","SGC-UN","Insuficiente"
"Bello","Antioquia","6.35","-75.59","156.61","7","MM","SGC-UN","Sin dato"
"Betulia","Antioquia","6.11","-75.99","139.78","5","EMS-98","SGC-UN","Insuficiente"
"Betulia","Antioquia","6.11","-75.99","139.78","6","MM","SGC-UN","Sin dato"
"Buchado","Antioquia","6.4","-76.78","74.63","8","EMS-98","SGC-UN","Buena"
"Buchado","Antioquia","6.4","-76.78","74.63","9","MM","SGC-UN","Sin dato"
"Buritica","Antioquia","6.74","-75.91","105.84","5","EMS-98","SGC-UN","Insuficiente"
"Buritica","Antioquia","6.74","-75.91","105.84","6","MM","SGC-UN","Sin dato"
"Caicedo","Antioquia","6.42","-76","114.85","7","EMS-98","SGC-UN","Insuficiente"
"Caicedo","Antioquia","6.42","-76","114.85","8","MM","SGC-UN","Sin dato"
"Carepa","Antioquia","7.76","-76.64","79.26","6","EMS-98","SGC-UN","Buena"
"Carepa","Antioquia","7.76","-76.64","79.26","7","MM","SGC-UN","Sin dato"
"Carolina del Principe","Antioquia","6.74","-75.29","172.09","5","EMS-98","SGC-UN","Insuficiente"
"Carolina del Principe","Antioquia","6.74","-75.29","172.09","6","MM","SGC-UN","Sin dato"
"Canasgordas","Antioquia","6.78","-76.04","91.34","8","EMS-98","SGC-UN","Buena"
"Canasgordas","Antioquia","6.78","-76.04","91.34","9","MM","SGC-UN","Sin dato"
"Chigorodo","Antioquia","7.68","-76.67","69.64","7","EMS-98","SGC-UN","Aceptable"
"Chigorodo","Antioquia","7.68","-76.67","69.64","9","MM","","Sin dato"
"Chigorodo","Antioquia","7.68","-76.67","69.64","8","MM","SGC-UN","Sin dato"
"Chigorodo","Antioquia","7.68","-76.67","69.64","9","MM","INGEOMINAS","Sin dato"
"Concordia","Antioquia","6.06","-75.91","149.76","5","EMS-98","SGC-UN","Insuficiente"
"Concordia","Antioquia","6.06","-75.91","149.76","6","MM","SGC-UN","Sin dato"
"Copacabana","Antioquia","6.35","-75.56","159.25","5","EMS-98","SGC-UN","Insuficiente"
"Copacabana","Antioquia","6.35","-75.56","159.25","6","MM","SGC-UN","Sin dato"
"Dabeiba","Antioquia","6.99","-76.25","62.5","8","EMS-98","SGC-UN","Buena"
"Dabeiba","Antioquia","6.99","-76.25","62.5","9","MM","SGC-UN","Sin dato"
"Envigado","Antioquia","6.19","-75.59","166.33","6","EMS-98","SGC-UN","Aceptable"
"Envigado","Antioquia","6.19","-75.59","166.33","7","MM","SGC-UN","Sin dato"
"Frontino","Antioquia","6.78","-76.14","80.64","7","EMS-98","SGC-UN","Buena"
"Frontino","Antioquia","6.78","-76.14","80.64","8","MM","SGC-UN","Sin dato"
"Fuemia","Antioquia","6.85","-76.26","65.49","7","EMS-98","SGC-UN","Insuficiente"
"Fuemia","Antioquia","6.85","-76.26","65.49","7","MM","SGC-UN","Sin dato"
"Giraldo","Antioquia","6.7","-75.95","103.09","5","EMS-98","SGC-UN","Insuficiente"
"Giraldo","Antioquia","6.7","-75.95","103.09","6","MM","SGC-UN","Sin dato"
"Hispania","Antioquia","5.84","-75.88","170.36","5","EMS-98","SGC-UN","Aceptable"
"Hispania","Antioquia","5.84","-75.88","170.36","5","MM","SGC-UN","Sin dato"
"Jardin","Antioquia","5.61","-75.84","194.54","5","EMS-98","SGC-UN","Aceptable"
"Jardin","Antioquia","5.61","-75.84","194.54","6","MM","SGC-UN","Sin dato"
"La Isla","Antioquia","6.83","-76.68","31.42","10","EMS-98","","Aceptable"
"La Isla","Antioquia","6.83","-76.68","31.42","9","MM","","Sin dato"
"La Isla","Antioquia","6.83","-76.68","31.42","10","MM","INGEOMINAS","Sin dato"
"La Isla","Antioquia","6.83","-76.68","31.42","10","MM","SGC-UN","Sin dato"
"La Union","Antioquia","5.99","-75.35","200.94","5","EMS-98","SGC-UN","Insuficiente"
"La Union","Antioquia","5.99","-75.35","200.94","6","MM","SGC-UN","Sin dato"
"Medellin","Antioquia","6.27","-75.58","162.25","7","EMS-98","SGC-UN","Buena"
"Medellin","Antioquia","6.27","-75.58","162.25","7","MM","SGC-UN","Sin dato"
"Medellin","Antioquia","6.27","-75.58","162.25","7","MM","","Sin dato"
"Medellin","Antioquia","6.27","-75.58","162.25","7","MM","INGEOMINAS","Sin dato"
"Murindo","Antioquia","6.98","-76.77","14.52","10","EMS-98","","Buena"
"Murindo","Antioquia","6.98","-76.77","14.52","10","MM","INGEOMINAS","Sin dato"
"Murindo","Antioquia","6.98","-76.77","14.52","10","MM","SGC-UN","Sin dato"
"Murindo","Antioquia","6.98","-76.77","14.52","9","MM","","Sin dato"
"Murri","Antioquia","6.74","-76.36","61.86","7","EMS-98","SGC-UN","Insuficiente"
"Murri","Antioquia","6.74","-76.36","61.86","8","MM","SGC-UN","Sin dato"
"Mutata","Antioquia","7.26","-76.45","45.74","8","EMS-98","SGC-UN","Buena"
"Mutata","Antioquia","7.26","-76.45","45.74","8","MM","","Sin dato"
"Mutata","Antioquia","7.26","-76.45","45.74","9","MM","SGC-UN","Sin dato"
"Mutata","Antioquia","7.26","-76.45","45.74","8","MM","INGEOMINAS","Sin dato"
"Necocli","Antioquia","8.42","-76.78","150.2","6","EMS-98","SGC-UN","Aceptable"
"Necocli","Antioquia","8.42","-76.78","150.2","7","MM","INGEOMINAS","Sin dato"
"Necocli","Antioquia","8.42","-76.78","150.2","7","MM","SGC-UN","Sin dato"
"Necocli","Antioquia","8.42","-76.78","150.2","7","MM","","Sin dato"
"Olaya","Antioquia","6.63","-75.81","120.67","5","EMS-98","SGC-UN","Insuficiente"
"Olaya","Antioquia","6.63","-75.81","120.67","6","MM","SGC-UN","Sin dato"
"Pavarandocito","Antioquia","7.3","-76.53","40.68","9","EMS-98","SGC-UN","Insuficiente"
"Pavarandocito","Antioquia","7.3","-76.53","40.68","9","MM","SGC-UN","Sin dato"
"San Andres de Cuerquia","Antioquia","6.93","-75.69","124.59","6","EMS-98","SGC-UN","Aceptable"
"San Andres de Cuerquia","Antioquia","6.93","-75.69","124.59","7","MM","SGC-UN","Sin dato"
"San Juan de Uraba","Antioquia","8.79","-76.55","192.67","5","EMS-98","SGC-UN","Insuficiente"
"San Juan de Uraba","Antioquia","8.79","-76.55","192.67","6","MM","SGC-UN","Sin dato"
"San Pedro de Uraba","Antioquia","8.23","-76.38","137.11","5","EMS-98","SGC-UN","Insuficiente"
"San Pedro de Uraba","Antioquia","8.23","-76.38","137.11","6","MM","SGC-UN","Sin dato"
"Santa Fe de Antioquia","Antioquia","6.55","-75.85","121.27","6","EMS-98","SGC-UN","Aceptable"
"Santa Fe de Antioquia","Antioquia","6.55","-75.85","121.27","7","MM","SGC-UN","Sin dato"
"Santa Rosa de Osos","Antioquia","6.66","-75.45","157.12","6","EMS-98","SGC-UN","Insuficiente"
"Santa Rosa de Osos","Antioquia","6.66","-75.45","157.12","7","MM","SGC-UN","Sin dato"
"Santo Domingo","Antioquia","6.47","-75.18","192.02","5","EMS-98","SGC-UN","Insuficiente"
"Santo Domingo","Antioquia","6.47","-75.18","192.02","6","MM","SGC-UN","Sin dato"
"Titiribi","Antioquia","6.08","-75.8","156.8","5","EMS-98","SGC-UN","Aceptable"
"Titiribi","Antioquia","6.08","-75.8","156.8","6","MM","SGC-UN","Sin dato"
"Turbo","Antioquia","8.09","-76.73","113.93","5","EMS-98","SGC-UN","Insuficiente"
"Turbo","Antioquia","8.09","-76.73","113.93","6","MM","SGC-UN","Sin dato"
"Turbo","Antioquia","8.09","-76.73","113.93","7","MM","INGEOMINAS","Sin dato"
"Turbo","Antioquia","8.09","-76.73","113.93","7","MM","","Sin dato"
"Uramagrande","Antioquia","7.02","-76.16","71.95","8","EMS-98","SGC-UN","Aceptable"
"Uramagrande","Antioquia","7.02","-76.16","71.95","9","MM","SGC-UN","Sin dato"
"Urrao","Antioquia","6.33","-76.15","109.78","7","EMS-98","SGC-UN","Aceptable"
"Urrao","Antioquia","6.33","-76.15","109.78","8","MM","SGC-UN","Sin dato"
"Valparaiso","Antioquia","5.62","-75.63","206.99","5","EMS-98","SGC-UN","Insuficiente"
"Valparaiso","Antioquia","5.62","-75.63","206.99","6","MM","SGC-UN","Sin dato"
"Vegaez","Antioquia","6.2","-76.57","100.39","6","EMS-98","SGC-UN","Insuficiente"
"Vegaez","Antioquia","6.2","-76.57","100.39","8","MM","SGC-UN","Sin dato"
"Vigia del Fuerte","Antioquia","6.59","-76.89","55.34","8","EMS-98","SGC-UN","Aceptable"
"Vigia del Fuerte","Antioquia","6.59","-76.89","55.34","8","MM","SGC-UN","Sin dato"
"Yarumal","Antioquia","6.98","-75.4","155.89","5","EMS-98","SGC-UN","Insuficiente"
"Yarumal","Antioquia","6.98","-75.4","155.89","6","MM","SGC-UN","Sin dato"
"Medellin","Antioquia","6.27","-75.58","275.44","2","EMS-98","","Buena"
"Medellin","Antioquia","6.27","-75.58","275.44","2","MM","","Buena"
"Medellin","Antioquia","6.27","-75.58","275.44","4","Escala MSK","Espinosa Baquero, Armando","Sin dato"
"Abejorral","Antioquia","5.79","-75.43","180.3","8","EMS-98","SGC-UN","Buena"
"Abejorral","Antioquia","5.79","-75.43","180.3","7","MM","CERESIS","Sin dato"
"Abejorral","Antioquia","5.79","-75.43","180.3","8","MM","SGC-UN","Buena"
"Abejorral","Antioquia","5.79","-75.43","180.3","7","EMS-92","","Aceptable"
"Andes","Antioquia","5.65","-75.89","153.05","8","EMS-98","SGC-UN","Buena"
"Andes","Antioquia","5.65","-75.89","153.05","9","MM","SGC-UN","Buena"
"Andes","Antioquia","5.65","-75.89","153.05","7","MM","CERESIS","Sin dato"
"Andes","Antioquia","5.65","-75.89","153.05","7","EMS-92","","Aceptable"
"Armenia","Antioquia","6.17","-75.8","197.93","6","EMS-98","SGC-UN","Insuficiente"
"Armenia","Antioquia","6.17","-75.8","197.93","7","MM","SGC-UN","Insuficiente"
"Betania","Antioquia","5.75","-76","158.72","8","EMS-98","SGC-UN","Aceptable"
"Betania","Antioquia","5.75","-76","158.72","7","MM","CERESIS","Sin dato"
"Betania","Antioquia","5.75","-76","158.72","8","MM","SGC-UN","Aceptable"
"Betania","Antioquia","5.75","-76","158.72","7","EMS-92","","Aceptable"
"Betulia","Antioquia","6.11","-75.99","189.53","7","EMS-98","SGC-UN","Aceptable"
"Betulia","Antioquia","6.11","-75.99","189.53","8","MM","SGC-UN","Aceptable"
"Caramanta","Antioquia","5.55","-75.65","153.59","8","EMS-98","SGC-UN","Insuficiente"
"Caramanta","Antioquia","5.55","-75.65","153.59","8","MM","SGC-UN","Insuficiente"
"Ciudad Bolivar","Antioquia","5.86","-76.05","167.47","8","EMS-98","SGC-UN","Aceptable"
"Ciudad Bolivar","Antioquia","5.86","-76.05","167.47","7","MM","CERESIS","Sin dato"
"Ciudad Bolivar","Antioquia","5.86","-76.05","167.47","8","MM","SGC-UN","Aceptable"
"Ciudad Bolivar","Antioquia","5.86","-76.05","167.47","7","EMS-92","","Aceptable"
